id,student_id,date,status,consecutive_absences
1,1,2025-12-01,present,0
2,1,2025-12-02,present,0
3,1,2025-12-03,present,0
4,1,2025-12-04,present,0
5,1,2025-12-05,present,0
6,1,2025-12-08,present,0
7,1,2025-12-09,present,0
8,1,2025-12-10,absent,1
9,1,2025-12-11,absent,2
10,1,2025-12-12,absent,3
11,1,2025-12-15,absent,4
12,1,2025-12-16,present,0
13,1,2025-12-17,present,0
14,1,2025-12-18,present,0
15,1,2025-12-19,absent,1
16,1,2025-12-22,present,0
17,1,2025-12-23,present,0
18,1,2025-12-24,absent,1
19,1,2025-12-25,present,0
20,1,2025-12-26,absent,1
21,1,2025-12-29,present,0
22,1,2025-12-30,absent,1
23,1,2025-12-31,present,0
24,1,2026-01-01,absent,1
25,1,2026-01-02,present,0
26,1,2026-01-05,absent,1
27,1,2026-01-06,late,0
28,1,2026-01-07,absent,1
29,1,2026-01-08,present,0
30,1,2026-01-09,present,0
31,1,2026-01-12,absent,1
32,1,2026-01-13,absent,2
33,1,2026-01-14,present,0
34,1,2026-01-15,present,0
35,1,2026-01-16,absent,1
36,1,2026-01-19,present,0
37,1,2026-01-20,absent,1
38,1,2026-01-21,present,0
39,1,2026-01-22,present,0
40,1,2026-01-23,absent,1
41,1,2026-01-26,present,0
42,1,2026-01-27,absent,1
43,1,2026-01-28,late,0
44,2,2025-12-01,present,0
45,2,2025-12-02,present,0
46,2,2025-12-03,present,0
47,2,2025-12-04,present,0
48,2,2025-12-05,present,0
49,2,2025-12-08,present,0
50,2,2025-12-09,present,0
51,2,2025-12-10,present,0
52,2,2025-12-11,present,0
53,2,2025-12-12,present,0
54,2,2025-12-15,present,0
55,2,2025-12-16,present,0
56,2,2025-12-17,present,0
57,2,2025-12-18,present,0
58,2,2025-12-19,present,0
59,2,2025-12-22,present,0
60,2,2025-12-23,present,0
61,2,2025-12-24,present,0
62,2,2025-12-25,present,0
63,2,2025-12-26,late,0
64,2,2025-12-29,present,0
65,2,2025-12-30,present,0
66,2,2025-12-31,present,0
67,2,2026-01-01,present,0
68,2,2026-01-02,present,0
69,2,2026-01-05,present,0
70,2,2026-01-06,present,0
71,2,2026-01-07,late,0
72,2,2026-01-08,present,0
73,2,2026-01-09,present,0
74,2,2026-01-12,present,0
75,2,2026-01-13,present,0
76,2,2026-01-14,present,0
77,2,2026-01-15,present,0
78,2,2026-01-16,present,0
79,2,2026-01-19,present,0
80,2,2026-01-20,present,0
81,2,2026-01-21,present,0
82,2,2026-01-22,present,0
83,2,2026-01-23,present,0
84,2,2026-01-26,present,0
85,2,2026-01-27,present,0
86,2,2026-01-28,present,0
87,3,2025-12-01,present,0
88,3,2025-12-02,present,0
89,3,2025-12-03,absent,1
90,3,2025-12-04,present,0
91,3,2025-12-05,present,0
92,3,2025-12-08,present,0
93,3,2025-12-09,present,0
94,3,2025-12-10,present,0
95,3,2025-12-11,present,0
96,3,2025-12-12,present,0
97,3,2025-12-15,present,0
98,3,2025-12-16,present,0
99,3,2025-12-17,present,0
100,3,2025-12-18,present,0
101,3,2025-12-19,present,0
102,3,2025-12-22,present,0
103,3,2025-12-23,present,0
104,3,2025-12-24,present,0
105,3,2025-12-25,present,0
106,3,2025-12-26,present,0
107,3,2025-12-29,present,0
108,3,2025-12-30,present,0
109,3,2025-12-31,present,0
110,3,2026-01-01,present,0
