id,student_id,week_number,year,login_count,time_spent_minutes,assignments_submitted,assignments_total,avg_assignment_score,engagement_score
1,1,1,2024,13,324,5,5,87.28,100.0
2,1,2,2024,17,541,4,5,87.47,95.0
3,1,3,2024,5,141,2,5,34.37,41.67
4,1,4,2024,7,254,2,5,71.6,45.0
5,1,5,2024,15,449,4,5,96.28,91.67
6,1,6,2024,8,288,3,5,67.21,63.33
7,1,7,2024,19,429,4,5,86.66,98.33
8,1,8,2024,17,530,4,5,97.79,95.0
9,1,9,2024,20,374,5,5,90.8,100.0
10,1,10,2024,6,296,2,5,79.54,43.33
11,1,11,2024,10,251,2,5,76.47,50.0
12,1,12,2024,9,289,2,5,70.39,48.33
13,2,1,2024,14,581,4,5,94.79,90.0
14,2,2,2024,7,275,2,5,66.51,45.0
15,2,3,2024,7,290,3,5,70.46,61.67
16,2,4,2024,6,297,3,5,75.0,60.0
17,2,5,2024,5,207,4,5,72.88,75.0
18,2,6,2024,13,300,4,5,89.9,88.33
19,2,7,2024,5,78,0,5,52.67,8.33
20,2,8,2024,13,577,4,5,99.03,88.33
21,2,9,2024,10,315,5,5,82.42,100.0
22,2,10,2024,20,336,4,5,85.07,100.0
23,2,11,2024,3,91,2,5,42.09,38.33
24,2,12,2024,7,237,3,5,67.5,61.67
25,3,1,2024,19,544,4,5,93.58,98.33
26,3,2,2024,3,81,1,5,30.93,21.67
27,3,3,2024,8,287,2,5,68.45,46.67
28,3,4,2024,15,551,4,5,87.6,91.67
29,3,5,2024,0,121,1,5,46.31,16.67
30,3,6,2024,20,348,5,5,87.6,100.0
31,3,7,2024,19,540,4,5,86.46,98.33
32,3,8,2024,17,410,5,5,81.9,100.0
33,3,9,2024,9,157,4,5,68.89,81.67
34,3,10,2024,17,440,5,5,96.03,100.0
35,3,11,2024,10,429,4,5,93.96,83.33
36,3,12,2024,17,450,4,5,80.8,95.0
37,4,1,2024,8,178,4,5,63.1,80.0
38,4,2,2024,6,273,3,5,64.98,60.0
39,4,3,2024,20,390,5,5,80.88,100.0
40,4,4,2024,15,598,5,5,84.57,100.0
41,4,5,2024,11,351,4,5,82.78,85.0
42,4,6,2024,9,294,2,5,68.76,48.33
43,4,7,2024,16,310,5,5,92.7,100.0
44,4,8,2024,17,317,5,5,88.73,100.0
45,4,9,2024,5,166,2,5,65.26,41.67
46,4,10,2024,2,121,1,5,45.21,20.0
47,4,11,2024,12,361,4,5,83.24,86.67
48,4,12,2024,20,400,5,5,93.2,100.0
49,5,1,2024,18,434,5,5,81.34,100.0
50,5,2,2024,6,299,3,5,62.32,60.0
51,5,3,2024,13,375,5,5,82.66,100.0
52,5,4,2024,5,245,2,5,70.2,41.67
53,5,5,2024,18,436,4,5,86.07,96.67
54,5,6,2024,7,212,3,5,76.02,61.67
55,5,7,2024,17,544,5,5,84.28,100.0
56,5,8,2024,18,577,4,5,82.92,96.67
57,5,9,2024,18,374,4,5,89.55,96.67
58,5,10,2024,0,144,0,5,37.41,0.0
59,5,11,2024,10,242,2,5,76.56,50.0
60,5,12,2024,16,321,5,5,95.61,100.0
61,6,1,2024,20,491,5,5,89.0,100.0
62,6,2,2024,6,182,3,5,72.3,60.0
63,6,3,2024,8,190,2,5,71.98,46.67
64,6,4,2024,11,521,4,5,88.35,85.0
65,6,5,2024,12,320,5,5,85.55,100.0
66,6,6,2024,20,474,5,5,96.73,100.0
67,6,7,2024,7,270,4,5,69.76,78.33
68,6,8,2024,10,300,4,5,71.2,83.33
69,6,9,2024,9,296,2,5,69.39,48.33
70,6,10,2024,17,475,4,5,85.03,95.0
