id,program_code,program_name,school_id,degree_type,duration_years,status
1,BBIT,Bachelor of Business Information Technology,1,Bachelor of Science,4,active
2,ICS,Information Communication Systems,1,Bachelor of Science,4,active
3,CNS,Computer and Network Security,1,Bachelor of Science,4,active
4,BCOM,Bachelor of Commerce,2,Bachelor of Science,4,active
5,BFS,Bachelor of Financial Services,2,Bachelor of Science,4,active
6,BSCM,Bachelor of Supply Chain Management,2,Bachelor of Science,4,active
7,BTM,Bachelor of Tourism Management,3,Bachelor of Arts,4,active
8,BHM,Bachelor of Hotel Management,3,Bachelor of Arts,4,active
9,LAW,Bachelor of Laws,4,LLB,4,active
10,BA,Bachelor of Arts,5,Bachelor of Arts,4,active
11,COMMON UNITS,Common Units (Foundation),5,Foundation,1,active
