id,student_id,course_id,semester,grade_points,status,enrollment_date
1,1,1,Fall2024,3.7,completed,2025-03-20
2,1,2,Fall2024,3.0,completed,2025-03-20
3,1,9,Fall2024,,enrolled,2025-03-20
4,1,6,Fall2024,,enrolled,2025-03-20
5,1,4,Fall2024,,dropped,2025-03-20
6,1,14,Fall2024,3.0,completed,2025-03-20
7,2,16,Fall2024,,enrolled,2022-03-16
8,2,8,Fall2024,3.3,completed,2022-03-16
9,2,7,Fall2024,,enrolled,2022-03-16
10,2,3,Fall2024,,enrolled,2022-03-16
11,2,9,Fall2024,3.7,completed,2022-03-16
12,2,11,Fall2024,4.0,completed,2022-03-16
13,3,18,Fall2024,,enrolled,2022-09-08
14,3,2,Fall2024,,enrolled,2022-09-08
15,3,6,Fall2024,3.3,completed,2022-09-08
16,3,1,Fall2024,,enrolled,2022-09-08
17,4,17,Fall2024,2.3,completed,2025-10-30
18,4,6,Fall2024,,enrolled,2025-10-30
19,4,11,Fall2024,,enrolled,2025-10-30
20,4,8,Fall2024,,dropped,2025-10-30
21,5,5,Fall2024,,enrolled,2024-09-10
22,5,3,Fall2024,,dropped,2024-09-10
23,5,8,Fall2024,,enrolled,2024-09-10
24,5,1,Fall2024,1.0,completed,2024-09-10
25,5,7,Fall2024,,dropped,2024-09-10
26,6,18,Fall2024,4.0,completed,2022-11-07
27,6,14,Fall2024,3.7,completed,2022-11-07
28,6,3,Fall2024,2.3,completed,2022-11-07
29,6,4,Fall2024,,enrolled,2022-11-07
30,6,6,Fall2024,,enrolled,2022-11-07
31,6,17,Fall2024,,enrolled,2022-11-07
32,7,15,Fall2024,2.3,completed,2024-10-05
33,7,12,Fall2024,3.3,completed,2024-10-05
34,7,6,Fall2024,2.7,completed,2024-10-05
35,7,2,Fall2024,,enrolled,2024-10-05
36,7,18,Fall2024,3.0,completed,2024-10-05
37,7,14,Fall2024,,enrolled,2024-10-05
38,8,15,Fall2024,,enrolled,2025-12-17
39,8,4,Fall2024,2.0,completed,2025-12-17
40,8,2,Fall2024,,dropped,2025-12-17
41,8,9,Fall2024,,enrolled,2025-12-17
42,8,13,Fall2024,,enrolled,2025-12-17
43,9,2,Fall2024,,enrolled,2022-01-31
44,9,15,Fall2024,,enrolled,2022-01-31
45,9,6,Fall2024,,enrolled,2022-01-31
46,9,16,Fall2024,4.0,completed,2022-01-31
47,9,13,Fall2024,,enrolled,2022-01-31
48,9,8,Fall2024,,enrolled,2022-01-31
49,10,18,Fall2024,,enrolled,2024-06-09
50,10,12,Fall2024,0.0,completed,2024-06-09
51,10,8,Fall2024,,enrolled,2024-06-09
52,10,14,Fall2024,2.0,completed,2024-06-09
53,11,16,Fall2024,,enrolled,2024-02-10
54,11,5,Fall2024,3.3,completed,2024-02-10
55,11,2,Fall2024,,enrolled,2024-02-10
56,11,3,Fall2024,,enrolled,2024-02-10
57,12,10,Fall2024,,enrolled,2023-11-13
58,12,14,Fall2024,,enrolled,2023-11-13
59,12,12,Fall2024,,enrolled,2023-11-13
60,12,15,Fall2024,,enrolled,2023-11-13
61,13,9,Fall2024,2.7,completed,2024-01-26
62,13,6,Fall2024,,enrolled,2024-01-26
63,13,15,Fall2024,,enrolled,2024-01-26
64,13,14,Fall2024,3.3,completed,2024-01-26
65,14,8,Fall2024,,enrolled,2025-10-03
66,14,13,Fall2024,,enrolled,2025-10-03
67,14,12,Fall2024,2.3,completed,2025-10-03
68,14,16,Fall2024,,enrolled,2025-10-03
69,15,18,Fall2024,,enrolled,2022-12-28
70,15,13,Fall2024,,enrolled,2022-12-28
71,15,17,Fall2024,,enrolled,2022-12-28
72,15,10,Fall2024,,enrolled,2022-12-28
73,16,11,Fall2024,,enrolled,2025-07-22
74,16,5,Fall2024,,enrolled,2025-07-22
75,16,4,Fall2024,4.0,completed,2025-07-22
76,16,3,Fall2024,,enrolled,2025-07-22
77,16,12,Fall2024,,enrolled,2025-07-22
78,16,6,Fall2024,,enrolled,2025-07-22
79,17,17,Fall2024,,enrolled,2022-06-22
80,17,14,Fall2024,,enrolled,2022-06-22
81,17,15,Fall2024,,enrolled,2022-06-22
82,17,7,Fall2024,,enrolled,2022-06-22
83,17,6,Fall2024,3.0,completed,2022-06-22
84,17,11,Fall2024,,enrolled,2022-06-22
85,18,9,Fall2024,,enrolled,2022-10-05
86,18,5,Fall2024,,enrolled,2022-10-05
87,18,17,Fall2024,,dropped,2022-10-05
88,18,2,Fall2024,0.0,completed,2022-10-05
89,19,15,Fall2024,3.3,completed,2025-09-28
90,19,8,Fall2024,,enrolled,2025-09-28
91,19,13,Fall2024,,enrolled,2025-09-28
92,19,7,Fall2024,,enrolled,2025-09-28
93,20,4,Fall2024,,enrolled,2024-05-17
94,20,18,Fall2024,,enrolled,2024-05-17
95,20,2,Fall2024,,enrolled,2024-05-17
96,20,14,Fall2024,,enrolled,2024-05-17
97,20,8,Fall2024,3.3,completed,2024-05-17
98,20,13,Fall2024,,enrolled,2024-05-17
99,21,10,Fall2024,,enrolled,2025-06-07
100,21,14,Fall2024,4.0,completed,2025-06-07
101,21,7,Fall2024,,enrolled,2025-06-07
102,21,2,Fall2024,,enrolled,2025-06-07
103,21,6,Fall2024,,enrolled,2025-06-07
104,21,11,Fall2024,,enrolled,2025-06-07
105,22,2,Fall2024,2.7,completed,2023-06-16
106,22,15,Fall2024,,enrolled,2023-06-16
107,22,10,Fall2024,,enrolled,2023-06-16
108,22,13,Fall2024,,enrolled,2023-06-16
109,22,18,Fall2024,2.7,completed,2023-06-16
110,23,9,Fall2024,,enrolled,2025-01-31
111,23,1,Fall2024,,enrolled,2025-01-31
112,23,4,Fall2024,,enrolled,2025-01-31
113,23,5,Fall2024,,enrolled,2025-01-31
114,24,14,Fall2024,4.0,completed,2024-10-27
115,24,15,Fall2024,3.7,completed,2024-10-27
116,24,16,Fall2024,,enrolled,2024-10-27
117,24,18,Fall2024,,enrolled,2024-10-27
118,24,4,Fall2024,4.0,completed,2024-10-27
119,25,5,Fall2024,,enrolled,2022-03-02
120,25,16,Fall2024,,enrolled,2022-03-02
121,25,9,Fall2024,,enrolled,2022-03-02
122,25,15,Fall2024,4.0,completed,2022-03-02
123,25,17,Fall2024,,enrolled,2022-03-02
124,25,6,Fall2024,4.0,completed,2022-03-02
125,26,9,Fall2024,4.0,completed,2022-08-01
126,26,2,Fall2024,,enrolled,2022-08-01
127,26,3,Fall2024,,enrolled,2022-08-01
128,26,18,Fall2024,1.7,completed,2022-08-01
129,27,12,Fall2024,2.3,completed,2023-01-02
130,27,11,Fall2024,,enrolled,2023-01-02
131,27,5,Fall2024,3.7,completed,2023-01-02
132,27,1,Fall2024,3.7,completed,2023-01-02
133,27,17,Fall2024,,enrolled,2023-01-02
134,27,18,Fall2024,,enrolled,2023-01-02
135,28,16,Fall2024,,dropped,2025-01-30
136,28,3,Fall2024,,enrolled,2025-01-30
137,28,4,Fall2024,,enrolled,2025-01-30
138,28,7,Fall2024,,enrolled,2025-01-30
139,29,15,Fall2024,,enrolled,2024-06-26
140,29,14,Fall2024,3.7,completed,2024-06-26
141,29,2,Fall2024,,enrolled,2024-06-26
142,29,11,Fall2024,,dropped,2024-06-26
143,29,4,Fall2024,0.0,completed,2024-06-26
144,29,7,Fall2024,,enrolled,2024-06-26
145,30,15,Fall2024,4.0,completed,2022-02-27
146,30,8,Fall2024,,enrolled,2022-02-27
147,30,9,Fall2024,,enrolled,2022-02-27
148,30,3,Fall2024,,enrolled,2022-02-27
149,31,16,Fall2024,3.3,completed,2024-09-17
150,31,6,Fall2024,,enrolled,2024-09-17
151,31,17,Fall2024,,enrolled,2024-09-17
152,31,11,Fall2024,,dropped,2024-09-17
153,31,9,Fall2024,,enrolled,2024-09-17
154,31,3,Fall2024,,enrolled,2024-09-17
155,32,7,Fall2024,3.3,completed,2023-10-01
156,32,17,Fall2024,3.3,completed,2023-10-01
157,32,6,Fall2024,,enrolled,2023-10-01
158,32,4,Fall2024,,enrolled,2023-10-01
159,32,16,Fall2024,,enrolled,2023-10-01
160,32,13,Fall2024,,enrolled,2023-10-01
161,33,16,Fall2024,,enrolled,2024-10-24
162,33,15,Fall2024,2.3,completed,2024-10-24
