attendance_rate,engagement_score,assignment_completion_rate,avg_assignment_score,avg_grade_points,avg_login_count,time_spent_minutes,consecutive_absences,repeat_courses,forum_posts,late_submissions,help_requests,total_enrollments,student_id,outcome,enrollment_date,school_id,program_id,year_of_study
79.97,81.72,97.85,61.49,2.63,5.41,356.34,6,0,12,4,7,5,1000,active,2023-01-01,4,15,1
88.14,77.34,87.42,52.04,2.87,4.55,260.64,2,0,25,2,4,7,1001,graduated,2020-09-01,3,19,3
43.47,41.19,63.64,37.79,2.34,2.56,109.91,10,2,7,5,2,7,1002,dropped_out,2023-09-01,3,12,4
72.23,46.55,37.33,40.76,1.87,2.31,143.33,5,2,1,6,9,7,1003,dropped_out,2022-09-01,2,11,1
73.84,49.82,64.2,58.09,2.55,8.64,257.49,1,0,17,1,10,4,1004,active,2021-01-01,5,17,3
28.84,62.34,73.46,56.18,1.5,1.74,124.54,10,3,3,4,2,8,1005,dropped_out,2020-01-01,3,1,2
70.63,81.28,95.04,79.34,3.78,6.71,325.3,2,0,18,1,2,7,1006,graduated,2022-01-01,2,16,1
90.38,87.64,88.55,65.29,1.99,4.66,110.4,3,0,17,7,4,7,1007,active,2020-09-01,2,2,3
89.32,76.7,90.13,76.16,3.26,9.94,250.86,0,0,29,4,1,6,1008,graduated,2023-01-01,1,19,1
57.38,68.48,53.77,58.69,1.9,5.14,165.82,3,0,12,1,5,4,1009,active,2021-01-01,1,8,1
67.92,64.81,42.18,35.9,1.69,3.69,136.78,10,1,0,3,4,5,1010,dropped_out,2023-01-01,4,10,4
78.45,94.2,100.0,83.48,1.45,5.46,174.86,1,1,12,5,5,5,1011,active,2022-01-01,2,7,3
80.87,57.14,66.51,66.49,3.8,4.74,105.95,4,2,12,7,3,4,1012,active,2020-01-01,2,1,4
82.55,90.73,87.06,57.68,3.68,5.94,351.89,3,1,29,3,1,5,1013,graduated,2023-09-01,3,15,1
90.0,75.99,76.53,84.79,3.18,8.94,280.02,0,0,20,0,4,7,1014,graduated,2021-09-01,2,14,1
68.52,89.53,60.22,48.59,1.78,0.5,165.75,5,0,5,4,2,8,1015,active,2021-01-01,1,2,2
