enrollment_id,student_id,course_id,unit_code,semester,year_level,class_level,grade,gpa,credits,status
ENR_000001,100001,BIT111,BIT111,Spring 2026,1,BCOM1.2,88.1,3.52,4,Enrolled
ENR_000002,100001,COM112,COM112,Spring 2026,1,BCOM1.2,51.9,2.08,3,Enrolled
ENR_000003,100001,MAT102,MAT102,Spring 2026,1,BCOM1.2,92.2,3.69,4,Enrolled
ENR_000004,100001,BIT115,BIT115,Spring 2026,1,BCOM1.2,67.7,2.71,3,Enrolled
ENR_000005,100001,BIT114,BIT114,Spring 2026,1,BCOM1.2,94.9,3.8,3,Enrolled
ENR_000006,100001,LAW111,LAW111,Spring 2026,1,BCOM1.2,52.3,2.09,3,Enrolled
ENR_000007,100001,BIT112,BIT112,Spring 2026,1,BCOM1.2,43.8,1.75,4,Enrolled
ENR_000008,100002,BIT115,BIT115,Spring 2026,1,BSCM1.2,72.4,2.89,3,Enrolled
ENR_000009,100002,STA102,STA102,Spring 2026,1,BSCM1.2,72.5,2.9,4,Enrolled
ENR_000010,100002,BIT113,BIT113,Spring 2026,1,BSCM1.2,91.7,3.67,3,Enrolled
ENR_000011,100002,BIT111,BIT111,Spring 2026,1,BSCM1.2,91.0,3.64,4,Enrolled
ENR_000012,100002,BIT112,BIT112,Spring 2026,1,BSCM1.2,62.4,2.49,4,Enrolled
ENR_000013,100002,BIT114,BIT114,Spring 2026,1,BSCM1.2,79.9,3.2,3,Enrolled
ENR_000014,100002,BUS102,BUS102,Spring 2026,1,BSCM1.2,70.3,2.81,3,Enrolled
ENR_000015,100003,MKT202,MKT202,Spring 2026,2,BCOM2.2,35.0,1.4,3,Enrolled
ENR_000016,100003,BIT215,BIT215,Spring 2026,2,BCOM2.2,92.1,3.68,3,Enrolled
ENR_000017,100003,BIT213,BIT213,Spring 2026,2,BCOM2.2,75.5,3.02,3,Enrolled
ENR_000018,100003,BIT211,BIT211,Spring 2026,2,BCOM2.2,90.4,3.62,4,Enrolled
ENR_000019,100003,BIT212,BIT212,Spring 2026,2,BCOM2.2,73.5,2.94,4,Enrolled
ENR_000020,100003,ACC202,ACC202,Spring 2026,2,BCOM2.2,82.9,3.31,4,Enrolled
ENR_000021,100005,ACC102,ACC102,Spring 2026,1,BCOM1.2,93.2,3.73,4,Enrolled
ENR_000022,100005,MAT112,MAT112,Spring 2026,1,BCOM1.2,74.3,2.97,3,Enrolled
ENR_000023,100005,ECO102,ECO102,Spring 2026,1,BCOM1.2,79.6,3.18,3,Enrolled
ENR_000024,100005,LAW111,LAW111,Spring 2026,1,BCOM1.2,74.9,3.0,3,Enrolled
ENR_000025,100005,COM112,COM112,Spring 2026,1,BCOM1.2,92.9,3.72,3,Enrolled
ENR_000026,100005,BUS102,BUS102,Spring 2026,1,BCOM1.2,73.6,2.94,3,Enrolled
ENR_000027,100006,BIT116,BIT116,Spring 2026,1,BSCM1.2,74.1,2.96,3,Enrolled
ENR_000028,100006,MAT112,MAT112,Spring 2026,1,BSCM1.2,83.5,3.34,3,Enrolled
ENR_000029,100006,BIT115,BIT115,Spring 2026,1,BSCM1.2,74.4,2.97,3,Enrolled
ENR_000030,100006,BIT112,BIT112,Spring 2026,1,BSCM1.2,92.6,3.71,4,Enrolled
ENR_000031,100006,ACC102,ACC102,Spring 2026,1,BSCM1.2,75.1,3.01,4,Enrolled
ENR_000032,100006,LAW111,LAW111,Spring 2026,1,BSCM1.2,65.6,2.62,3,Enrolled
ENR_000033,100006,BIT114,BIT114,Spring 2026,1,BSCM1.2,54.1,2.17,3,Enrolled
ENR_000034,100007,MGT101,MGT101,Spring 2026,1,BSCM1.1,50.9,2.04,3,Enrolled
ENR_000035,100007,LAW101,LAW101,Spring 2026,1,BSCM1.1,66.7,2.67,3,Enrolled
ENR_000036,100007,COM111,COM111,Spring 2026,1,BSCM1.1,92.6,3.71,3,Enrolled
